Date,Seasonal Factors,Weather,Public Holidays,Doctors,Nurses,Patients,Emergency Cases,ICU Admissions,Discharge Count,Available Beds
2000-01-01,Winter,Cold,0,87,197,365,39,20,264,399
2000-01-02,Winter,Sunny,0,81,198,364,48,31,322,458
2000-01-03,Winter,Cloudy,0,80,192,353,52,21,284,431
2000-01-04,Winter,Cold,0,90,196,315,45,16,249,434
2000-01-05,Winter,Fog,0,81,187,315,46,24,276,461
2000-01-06,Winter,Fog,0,76,222,317,59,27,254,437
2000-01-07,Winter,Fog,0,78,188,345,51,26,274,429
2000-01-08,Winter,Sunny,0,74,194,289,56,27,255,466
2000-01-09,Winter,Cloudy,0,86,189,339,38,28,269,430
2000-01-10,Winter,Cloudy,0,82,188,375,48,20,291,416
2000-01-11,Winter,Fog,0,85,200,356,58,34,290,434
2000-01-12,Winter,Sunny,0,86,198,331,42,19,296,465
2000-01-13,Winter,Sunny,0,77,193,322,43,28,287,465
2000-01-14,Winter,Fog,0,75,195,360,68,20,307,447
2000-01-15,Winter,Fog,0,79,189,347,53,34,277,430
2000-01-16,Winter,Fog,0,75,206,333,44,22,291,458
2000-01-17,Winter,Fog,0,80,230,325,57,24,254,429
2000-01-18,Winter,Cold,0,85,186,341,36,25,282,441
2000-01-19,Winter,Cold,0,79,205,332,51,18,244,412
2000-01-20,Winter,Fog,0,80,200,359,39,26,298,439
2000-01-21,Winter,Cloudy,0,79,210,371,43,21,280,409
2000-01-22,Winter,Fog,0,84,210,305,32,27,260,455
2000-01-23,Winter,Fog,0,76,203,309,58,30,241,432
2000-01-24,Winter,Cold,0,69,199,373,39,33,290,417
2000-01-25,Winter,Cold,0,82,193,344,52,24,292,448
2000-01-26,Winter,Cloudy,0,84,188,311,38,15,244,433
2000-01-27,Winter,Fog,0,82,198,364,50,18,306,442
2000-01-28,Winter,Cold,0,76,180,348,51,26,303,455
2000-01-29,Winter,Cold,0,74,191,395,57,33,287,392
2000-01-30,Winter,Fog,0,82,216,334,58,30,265,431
2000-01-31,Winter,Cloudy,0,80,201,367,70,29,326,459
2000-02-01,Winter,Fog,0,79,213,303,39,29,261,458
2000-02-02,Winter,Fog,0,89,222,374,38,27,334,460
2000-02-03,Winter,Sunny,0,75,197,363,68,29,316,453
2000-02-04,Winter,Sunny,0,88,203,380,75,23,289,409
2000-02-05,Winter,Sunny,0,80,195,367,52,24,270,403
2000-02-06,Winter,Fog,0,70,187,337,49,28,250,413
2000-02-07,Winter,Fog,0,79,185,310,35,24,230,420
2000-02-08,Winter,Cloudy,0,84,212,324,47,22,231,407
2000-02-09,Winter,Cold,0,78,203,295,38,16,260,465
2000-02-10,Winter,Fog,1,72,227,336,67,22,268,432
2000-02-11,Winter,Cold,1,79,214,370,43,19,266,396
2000-02-12,Winter,Fog,0,75,189,338,46,26,288,450
2000-02-13,Winter,Sunny,0,82,212,334,53,22,255,421
2000-02-14,Winter,Fog,0,83,195,320,43,22,228,408
2000-02-15,Winter,Cloudy,0,74,218,295,43,23,217,422
