Date,Seasonal Factors,Weather,Public Holidays,Doctors,Nurses,Patients,Emergency Cases,ICU Admissions,Discharge Count,Available Beds
1/1/2000,Winter,Cold,No,87,197,365,39,20,264,399
1/2/2000,Winter,Sunny,No,81,198,364,48,31,322,458
1/3/2000,Winter,Cloudy,No,80,192,353,52,21,284,431
1/4/2000,Winter,Cold,No,90,196,315,45,16,249,434
1/5/2000,Winter,Fog,No,81,187,315,46,24,276,461
1/6/2000,Winter,Fog,No,76,222,317,59,27,254,437
1/7/2000,Winter,Fog,No,78,188,345,51,26,274,429
1/8/2000,Winter,Sunny,No,74,194,289,56,27,255,466
1/9/2000,Winter,Cloudy,No,86,189,339,38,28,269,430
1/10/2000,Winter,Cloudy,No,82,188,375,48,20,291,416
1/11/2000,Winter,Fog,No,85,200,356,58,34,290,434
1/12/2000,Winter,Sunny,No,86,198,331,42,19,296,465
1/13/2000,Winter,Sunny,No,77,193,322,43,28,287,465
1/14/2000,Winter,Fog,No,75,195,360,68,20,307,447
1/15/2000,Winter,Fog,No,79,189,347,53,34,277,430
1/16/2000,Winter,Fog,No,75,206,333,44,22,291,458
1/17/2000,Winter,Fog,No,80,230,325,57,24,254,429
1/18/2000,Winter,Cold,No,85,186,341,36,25,282,441
1/19/2000,Winter,Cold,No,79,205,332,51,18,244,412
1/20/2000,Winter,Fog,No,80,200,359,39,26,298,439
1/21/2000,Winter,Cloudy,No,79,210,371,43,21,280,409
1/22/2000,Winter,Fog,No,84,210,305,32,27,260,455
1/23/2000,Winter,Fog,No,76,203,309,58,30,241,432
1/24/2000,Winter,Cold,No,69,199,373,39,33,290,417
1/25/2000,Winter,Cold,No,82,193,344,52,24,292,448
1/26/2000,Winter,Cloudy,No,84,188,311,38,15,244,433
1/27/2000,Winter,Fog,No,82,198,364,50,18,306,442
1/28/2000,Winter,Cold,No,76,180,348,51,26,303,455
1/29/2000,Winter,Cold,No,74,191,395,57,33,287,392
1/30/2000,Winter,Fog,No,82,216,334,58,30,265,431
1/31/2000,Winter,Cloudy,No,80,201,367,70,29,326,459
2/1/2000,Winter,Fog,No,79,213,303,39,29,261,458
2/2/2000,Winter,Fog,No,89,222,374,38,27,334,460
2/3/2000,Winter,Sunny,No,75,197,363,68,29,316,453
2/4/2000,Winter,Sunny,No,88,203,380,75,23,289,409
2/5/2000,Winter,Sunny,No,80,195,367,52,24,270,403
2/6/2000,Winter,Fog,No,70,187,337,49,28,250,413
2/7/2000,Winter,Fog,No,79,185,310,35,24,230,420
2/8/2000,Winter,Cloudy,No,84,212,324,47,22,231,407
2/9/2000,Winter,Cold,No,78,203,295,38,16,260,465
